id:ID,name,desc,:LABEL
欧阳锋,欧阳锋,欧阳锋，是金庸笔下《射雕英雄传》中的头号反派人物，绰号”西毒“，武功登峰造极，乃“天下五绝”之一，后因逆练郭靖乱改的九阴真经而疯，不过武功更胜从前，于”第二次华山论剑“中先后击败郭靖，黄药师，洪七公三人，被三人公认为”第二次华山论剑“武功天下第一。在《神雕侠侣》中收杨过为儿子，后来与洪七公在华山比武，后欧阳锋恢复记忆，两人大笑，互相拥抱而逝。,角色
杨康,杨康,杨康，又名完颜康，金庸武侠小说《射雕英雄传》中的人物。杨铁心与包惜弱之子，金国六王爷完颜洪烈的养子。杨康聪明机警，外貌俊美、气质卓绝，生母养父对其万般宠溺，自幼在顺境中成长，处处争强好胜，不择手段。因迷恋金朝王室的富贵，在得知身世后仍继续追随仇人完颜洪烈，并欲继其王位。与未婚妻穆念慈因比武招亲结缘，后因欧阳克欺侮其妻，亲手刺死欧阳克，并顺义拜在其叔父欧阳锋门下为徒。桃花岛上以九阴白骨爪害死了江南七怪中的韩宝驹。在铁枪庙中被黄蓉拆穿真相后欲杀之灭口，掌击黄蓉软猬甲上，被江南七怪之南希仁遗留在刺尖上的剧毒刺破手掌，而中毒身亡。身亡后不久，其未婚妻为其产下遗腹子杨过。,角色
梅超风,梅超风,梅超风，原名梅若华，金庸武侠小说《射雕英雄传》中的人物。是东邪黄药师的弟子，武功极高，功力在马钰、丘处机、欧阳克之上，略低于裘千仞。与师兄陈玄风有私情，盗走半部《九阴真经》，背叛师门。因遭师弟陆乘风，飞天蝙蝠柯镇恶兄弟等人追杀远走大漠，与陈玄风合称“黑风双煞”。在和江南七怪的激战中，梅超风被柯镇恶暗算而双目失明。十年后她重出江湖，传授杨康九阴白骨爪，并找江南七怪报仇，后来于牛家村被全真七子这七位道士联合围攻，后被东邪黄药师出手相救。双方酣斗之际，欧阳锋以毕生功力向黄药师施以偷袭，梅超风舍命为恩师挡了欧阳锋一击而死。黄药师在她临死时，重新收她为徒。,角色
射雕英雄传,射雕英雄传,,作品
神雕侠侣,神雕侠侣,,作品
倚天屠龙记,倚天屠龙记,,作品
九阴真经,九阴真经,,武功
降龙十八掌,降龙十八掌,,武功
左右互搏,左右互搏,,武功
兰花拂穴手,兰花拂穴手,,武功
桃华落英掌,桃华落英掌,,武功
玉萧剑法,玉萧剑法,,武功
打狗棒法,打狗棒法,,武功
逍遥游,逍遥游,,武功
黯然销魂掌,黯然销魂掌,,武功
玉女心经,玉女心经,,武功
蛤蟆功,蛤蟆功,,武功
弹指神通,弹指神通,,武功
玄铁剑法,玄铁剑法,,武功
碧波掌法,碧波掌法,,武功
碧海潮生曲,碧海潮生曲,,武功
九阳神功,九阳神功,,武功
乾坤大挪移,乾坤大挪移,,武功
太极拳,太极拳,,武功
圣火令,圣火令,,武功
峨眉剑法,峨眉剑法,,武功
九阴白骨爪,九阴白骨爪,,武功
峨嵋九阳功,峨嵋九阳功,,武功
越女剑法,越女剑法,,武功
全真剑法,全真剑法,,武功
桃花岛,桃花岛,,门派
古墓派,古墓派,,门派
明教,明教,,门派
武当派,武当派,,门派
峨眉派,峨眉派,,门派
丐帮,丐帮,,门派
哲别,哲别,,角色
江南七怪,江南七怪,,角色
觉远,觉远,,角色
灭绝师太,灭绝师太,,角色
丘处机,丘处机,,角色
郭芙,郭芙,,角色
郭破虏,郭破虏,,角色
欧阳克,欧阳克,,角色
郭啸天,郭啸天,,角色
张翠山,张翠山,,角色
杨铁心,杨铁心,,角色
李萍,李萍,,角色
冯蘅,冯蘅,,角色
穆念慈,穆念慈,,角色
殷素素,殷素素,,角色
包惜弱,包惜弱,,角色
冯衡,冯衡,,角色
陈玄风,陈玄风,,角色
